image_name,STAT_e,STAT_n_D,STAT_n_A,STAT_CC_D,STAT_CC_A,ABS_wf_D,ABS_f_D,DISS_wf10_D,DISS_f10_D,CT_f_e_conn,CT_f_conn_D_An,CT_f_conn_A_Ca,CT_e_conn,CT_e_D_An,CT_e_A_Ca,CT_f_D_tort1,CT_f_A_tort1,FF(P3HT:PCBM)
data_chi_2.200_phi_0.500_Results/48.txt,773153,4681670,3838650,1,1,0.360979,0.549471,0.618439,0.992928,1,1,1,773153,779293,760505,0.299169,0.280151,0.504559124263202
data_chi_2.590_phi_0.640_Results/86.txt,642279,2501560,6018760,16,1,0.198618,0.2936,0.703428,0.999647,0.866494,0.887302,1,556531,528860,675064,0.290146,0.413675,0.487962506166749
data_chi_2.590_phi_0.584_Results/28.txt,908343,2265340,6254980,9,1,0.182128,0.265875,0.803641,1,0.981498,0.984661,1,891537,813283,980673,0.241651,0.365993,0.481813996316759
data_chi_2.720_phi_0.542_Results/75.txt,741483,3809970,4710350,1,1,0.296214,0.447163,0.648561,0.997844,1,1,1,741483,731464,746880,0.270523,0.326095,0.508232599567375
data_chi_2.850_phi_0.626_Results/16.txt,1007430,2200180,6320140,46,1,0.177776,0.258227,0.823518,1,0.922809,0.936699,1,929665,829860,1110160,0.249024,0.349028,0.488192695214106
data_chi_2.460_phi_0.626_Results/100.txt,628459,2468030,6052290,14,1,0.196626,0.289664,0.701179,0.999665,0.651732,0.70131,1,409587,391313,659999,0.368445,0.43412,0.458134854075814
data_chi_2.460_phi_0.500_Results/14.txt,1092230,4443330,4076990,1,2,0.342496,0.521498,0.728313,0.999878,0.999658,1,0.99995,1091860,1095110,1074550,0.234687,0.230266,0.508938134810711
data_chi_2.330_phi_0.584_Results/89.txt,702545,2654370,5865950,3,1,0.211495,0.311534,0.712655,0.999777,0.988206,0.991282,1,694259,658749,734978,0.258336,0.415734,0.489256078031737
data_chi_2.460_phi_0.640_Results/128.txt,569765,2332950,6187370,26,1,0.187003,0.27381,0.688486,0.998403,0.53511,0.597062,1,304887,293118,598577,0.452701,0.48032,0.42389397050588
data_chi_2.720_phi_0.570_Results/25.txt,1122700,3287900,5232420,2,1,0.257417,0.385889,0.781832,0.999997,0.998554,0.999039,1,1121080,1062620,1167760,0.211862,0.267336,0.5057516339869281
data_chi_2.720_phi_0.570_Results/417.txt,412983,3565180,4955140,1,1,0.277905,0.418432,0.46455,0.82402,1,1,1,412983,410208,414914,0.427801,0.625835,0.503957612456748
data_chi_2.720_phi_0.640_Results/383.txt,381325,2787590,5732740,4,1,0.220032,0.327169,0.502912,0.857118,0.912232,0.92617,1,347857,341311,389166,0.398437,0.633542,0.471985815602837
data_chi_2.720_phi_0.612_Results/239.txt,446783,3063700,5456620,1,1,0.239934,0.359576,0.531415,0.899116,1,1,1,446783,438030,454583,0.36395,0.626305,0.4913125
data_chi_2.200_phi_0.556_Results/226.txt,592145,2976600,5543720,1,1,0.23433,0.349353,0.638424,0.987407,1,1,1,592145,574069,607684,0.268293,0.404483,0.504885057471264
data_chi_2.850_phi_0.528_Results/359.txt,440183,3928380,4591940,1,1,0.302498,0.461061,0.453741,0.816315,1,1,1,440183,438006,441281,0.401813,0.521387,0.50101667344449
data_chi_2.720_phi_0.500_Results/6.txt,1349630,4380460,4139860,1,3,0.337921,0.51412,0.780637,0.999997,0.999892,1,0.999988,1349480,1344270,1327240,0.207023,0.205264,0.516098765432099
data_chi_2.460_phi_0.584_Results/50.txt,856753,2743930,5776400,3,1,0.217464,0.322045,0.754095,1,0.994255,0.995891,1,851831,801104,901575,0.237723,0.361748,0.498237255836112
data_chi_2.720_phi_0.528_Results/214.txt,538563,4004740,4515580,1,1,0.311459,0.470023,0.528484,0.925555,1,1,1,538563,536855,537760,0.310489,0.393494,0.498252756573367
data_chi_2.720_phi_0.514_Results/44.txt,995411,4104710,4415620,1,1,0.317676,0.481755,0.717608,0.999704,1,1,1,995411,985355,994517,0.243363,0.268802,0.506689655172414
data_chi_2.460_phi_0.626_Results/210.txt,493287,2608860,5911470,4,1,0.206579,0.306192,0.614428,0.969486,0.883066,0.913768,1,435605,422050,509437,0.32784,0.509954,0.4522627737226277
data_chi_2.460_phi_0.626_Results/66.txt,693153,2261830,6258490,42,1,0.181851,0.265463,0.742669,0.999999,0.614429,0.664171,1,425893,399828,740548,0.381105,0.440025,0.452105748539809
data_chi_2.850_phi_0.612_Results/17.txt,1126630,2718090,5802240,11,1,0.21568,0.319012,0.811109,1,0.984488,0.987806,1,1109150,1014200,1211190,0.211859,0.293577,0.500264900662252
data_chi_2.850_phi_0.500_Results/3.txt,1491080,4439060,4081260,1,2,0.342114,0.520997,0.799781,1,0.999942,1,0.999993,1490990,1485710,1457110,0.196084,0.193442,0.519960443037975
data_chi_2.590_phi_0.500_Results/11.txt,1224070,4360650,4159670,1,1,0.336339,0.511795,0.758864,0.999981,1,1,1,1224070,1220860,1206640,0.215592,0.215962,0.513090909090909
data_chi_2.460_phi_0.500_Results/3.txt,1232830,4799760,3720560,1,3,0.368231,0.563331,0.746282,0.999962,0.999955,1,0.999996,1232780,1251810,1191120,0.229419,0.208035,0.511197604790419
data_chi_2.200_phi_0.584_Results/253.txt,486367,2135690,6384630,13,1,0.172683,0.250659,0.667699,0.988736,0.503984,0.56645,1,245121,236597,509543,0.499485,0.519514,0.437785467128028
